iter	Passed	Remaining
0	222	111193
1	259	64680
2	316	52511
3	389	48245
4	445	44140
5	494	40717
6	546	38455
7	600	36932
8	644	35184
9	691	33861
10	752	33439
11	807	32854
12	854	32022
13	910	31603
14	968	31313
15	1002	30335
16	1047	29757
17	1104	29567
18	1147	29050
19	1199	28790
20	1248	28474
21	1291	28065
22	1353	28076
23	1396	27693
24	1455	27652
25	1509	27517
26	1561	27360
27	1603	27026
28	1692	27481
29	1736	27203
30	1776	26870
31	1846	27000
32	1923	27213
33	1985	27218
34	2052	27265
35	2100	27070
36	2143	26819
37	2211	26887
38	2293	27115
39	2365	27208
40	2393	26790
41	2451	26734
42	2520	26792
43	2559	26524
44	2605	26345
45	2657	26228
46	2704	26067
47	2766	26049
48	2821	25967
49	2877	25895
50	2914	25660
51	2962	25522
52	2997	25278
53	3066	25324
54	3134	25361
55	3208	25439
56	3256	25308
57	3328	25367
58	3380	25266
59	3447	25282
60	3489	25113
61	3537	24992
62	3593	24926
63	3643	24819
64	3732	24977
65	3785	24892
66	3835	24787
67	3901	24787
68	3949	24667
69	4000	24576
70	4067	24577
71	4115	24463
72	4162	24345
73	4215	24270
74	4258	24128
75	4336	24194
76	4403	24188
77	4449	24071
78	4494	23950
79	4533	23803
80	4585	23718
81	4628	23596
82	4696	23595
83	4739	23472
84	4796	23419
85	4863	23410
86	4910	23309
87	4954	23195
88	5001	23098
89	5044	22981
90	5092	22886
91	5140	22796
92	5221	22849
93	5293	22864
94	5363	22865
95	5408	22760
96	5458	22677
97	5508	22595
98	5558	22516
99	5623	22495
100	5670	22401
101	5751	22440
102	5807	22382
103	5857	22303
104	5907	22221
105	5965	22172
106	6112	22450
107	6163	22370
108	6221	22316
109	6289	22298
110	6348	22247
111	6409	22205
112	6479	22189
113	6522	22084
114	6570	21996
115	6621	21918
116	6675	21851
117	6733	21799
118	6786	21728
119	6872	21763
120	6922	21683
121	6969	21593
122	7014	21499
123	7061	21412
124	7097	21292
125	7140	21194
126	7193	21128
127	7242	21047
128	7290	20967
129	7335	20877
130	7390	20816
131	7443	20752
132	7512	20730
133	7581	20707
134	7640	20656
135	7692	20588
136	7737	20502
137	7786	20425
138	7850	20387
139	7902	20321
140	7962	20272
141	8007	20188
142	8060	20122
143	8130	20099
144	8178	20023
145	8225	19944
146	8273	19867
147	8290	19716
148	8331	19627
149	8378	19549
150	8423	19468
151	8469	19390
152	8516	19315
153	8567	19249
154	8619	19184
155	8663	19103
156	8717	19044
157	8765	18972
158	8827	18932
159	8876	18862
160	8926	18795
161	8988	18753
162	9035	18681
163	9092	18627
164	9139	18556
165	9219	18549
166	9264	18474
167	9313	18405
168	9393	18397
169	9444	18332
170	9511	18300
171	9549	18211
172	9588	18123
173	9630	18043
174	9675	17969
175	9724	17901
176	9791	17868
177	9834	17790
178	9884	17726
179	9972	17728
180	10029	17675
181	10084	17619
182	10117	17526
183	10182	17487
184	10226	17412
185	10274	17345
186	10324	17281
187	10377	17221
188	10444	17185
189	10499	17130
190	10545	17060
191	10587	16984
192	10625	16902
193	10692	16865
194	10746	16809
195	10804	16758
196	10850	16688
197	10892	16614
198	10908	16499
199	10965	16447
200	11014	16384
201	11076	16340
202	11140	16299
203	11181	16224
204	11219	16145
205	11267	16081
206	11313	16014
207	11332	15908
208	11380	15845
209	11425	15777
210	11480	15724
211	11565	15711
212	11610	15644
213	11652	15572
214	11693	15500
215	11740	15436
216	11791	15377
217	11837	15312
218	11877	15240
219	11929	15183
220	11972	15114
221	12015	15046
222	12087	15014
223	12134	14950
224	12183	14890
225	12232	14830
226	12282	14771
227	12347	14730
228	12392	14665
229	12441	14604
230	12508	14565
231	12566	14516
232	12610	14451
233	12662	14394
234	12707	14329
235	12759	14273
236	12787	14189
237	12847	14143
238	12921	14111
239	12975	14056
240	13034	14007
241	13089	13954
242	13137	13894
243	13173	13820
244	13214	13753
245	13258	13689
246	13299	13622
247	13360	13575
248	13417	13525
249	13476	13476
250	13523	13415
251	13582	13367
252	13633	13310
253	13682	13251
254	13734	13196
255	13783	13137
256	13833	13079
257	13883	13022
258	13935	12966
259	14002	12925
260	14052	12867
261	14100	12808
262	14149	12750
263	14197	12692
264	14247	12634
265	14294	12575
266	14342	12516
267	14399	12465
268	14444	12403
269	14491	12344
270	14541	12288
271	14587	12227
272	14640	12173
273	14686	12113
274	14740	12060
275	14778	11994
276	14834	11942
277	14901	11899
278	14951	11843
279	15000	11785
280	15050	11729
281	15105	11677
282	15176	11636
283	15222	11577
284	15273	11522
285	15317	11461
286	15368	11405
287	15413	11346
288	15473	11297
289	15527	11244
290	15574	11185
291	15614	11122
292	15665	11067
293	15710	11007
294	15763	10954
295	15816	10900
